video_id;frame
TD93LFHnIRI;64
TD93LFHnIRI;65
TD93LFHnIRI;73
TD93LFHnIRI;78
TD93LFHnIRI;87
TD93LFHnIRI;93
TD93LFHnIRI;115
TD93LFHnIRI;116
TD93LFHnIRI;118
TD93LFHnIRI;119
TD93LFHnIRI;121
TD93LFHnIRI;124
TD93LFHnIRI;126
TD93LFHnIRI;137
TD93LFHnIRI;145
TD93LFHnIRI;146
TD93LFHnIRI;147
TD93LFHnIRI;172
TD93LFHnIRI;173
TD93LFHnIRI;174
TD93LFHnIRI;175
TD93LFHnIRI;180
TD93LFHnIRI;1217
TD93LFHnIRI;1239
TD93LFHnIRI;1263
TD93LFHnIRI;1264
TD93LFHnIRI;1266
TD93LFHnIRI;1267
TD93LFHnIRI;1275
TD93LFHnIRI;1328
TD93LFHnIRI;1331
TD93LFHnIRI;1332
TD93LFHnIRI;1333
TD93LFHnIRI;1857
TD93LFHnIRI;1864
TD93LFHnIRI;1867
TD93LFHnIRI;1872
TD93LFHnIRI;1874
TD93LFHnIRI;1882
TD93LFHnIRI;1883
TD93LFHnIRI;1884
TD93LFHnIRI;1885
TD93LFHnIRI;1888
TD93LFHnIRI;1890
TD93LFHnIRI;1891
TD93LFHnIRI;1892
TD93LFHnIRI;1894
TD93LFHnIRI;1895
TD93LFHnIRI;1896
TD93LFHnIRI;1897
TD93LFHnIRI;1898
TD93LFHnIRI;1900
TD93LFHnIRI;1901
TD93LFHnIRI;1902
TD93LFHnIRI;2433
TD93LFHnIRI;2441
TD93LFHnIRI;2442
TD93LFHnIRI;2446
TD93LFHnIRI;2448
TD93LFHnIRI;2449
TD93LFHnIRI;4589
TD93LFHnIRI;4728
TD93LFHnIRI;4786
TD93LFHnIRI;4788
TD93LFHnIRI;4789
Ue-Ap47MADY;3118
Ue-Ap47MADY;3281
Ug5cIi1kJpk;8588
Ug5cIi1kJpk;8587
Ug5cIi1kJpk;8613
WLtvU-lXAvQ;1047
YDinGi2crCU;98
YDinGi2crCU;100
YDinGi2crCU;786
YDinGi2crCU;787
YDinGi2crCU;809
YDinGi2crCU;818
YDinGi2crCU;897
YDinGi2crCU;902
YDinGi2crCU;997
YDinGi2crCU;999
YDinGi2crCU;1491
YDinGi2crCU;1777
YDinGi2crCU;1900
YDinGi2crCU;1923
YDinGi2crCU;2022
YDinGi2crCU;2024
YDinGi2crCU;2117
YDinGi2crCU;2329
YDinGi2crCU;2562
YDinGi2crCU;2565
YDinGi2crCU;2571
YDinGi2crCU;2582
YDinGi2crCU;2583
YDinGi2crCU;2585
YDinGi2crCU;2590
YDinGi2crCU;2617
YDinGi2crCU;2828
